#x,y,z,f,dx,dy,dz,k,s,m
0.805652,0.002201,2.849770,1000.000000,0.568927,-0.693723,-0.441669,1.000000,0.131123,0
0.269652,0.038201,3.206769,1000.000000,-0.874466,-0.264187,-0.406834,1.000000,0.177963,0
1.285652,0.003799,2.523770,1000.000000,-0.003755,-0.305924,-0.952049,1.000000,0.153246,0
2.042652,0.003799,0.986770,1000.000000,-0.384876,-0.322949,0.864624,1.000000,0.200752,0
1.212652,0.003799,1.768770,1000.000000,-0.508065,-0.107992,-0.854522,1.000000,0.177963,0
0.260652,0.003799,1.348770,1000.000000,-0.296508,-0.951682,-0.079905,1.000000,0.153246,0
1.829652,0.003799,1.567770,1000.000000,-0.597725,-0.373500,0.709381,1.000000,0.153246,0
1.823652,0.003799,0.202770,1000.000000,0.617727,-0.245948,-0.746943,1.000000,0.177963,0
0.464652,0.003799,1.596770,1000.000000,0.657412,-0.306556,0.688355,1.000000,0.146075,0
1.809652,0.003799,0.804770,1000.000000,-0.385373,-0.064489,0.920505,1.000000,0.200752,0
